97739,50344
97739,51571
98274,51571
98274,52752
97501,52752
97501,53963
97513,53963
97513,55170
97443,55170
97443,56360
97220,56360
97220,57634
97539,57634
97539,58834
97323,58834
97323,59898
96465,59898
96465,61263
96996,61263
96996,62339
96281,62339
96281,63628
96363,63628
96363,64617
95438,64617
95438,65842
95279,65842
95279,66911
94671,66911
94671,68092
94363,68092
94363,69401
94326,69401
94326,70239
93226,70239
93226,71263
92569,71263
92569,72679
92664,72679
92664,73377
91411,73377
91411,74680
91242,74680
91242,75835
90790,75835
90790,76580
89705,76580
89705,77988
89600,77988
89600,78962
88850,78962
88850,79537
87596,79537
87596,80848
87280,80848
87280,81800
86507,81800
86507,82573
85535,82573
85535,83185
84410,83185
84410,84055
83567,84055
83567,85119
82904,85119
82904,85753
81836,85753
81836,86856
81181,86856
81181,87287
79958,87287
79958,88114
79065,88114
79065,89189
78344,89189
78344,89828
77297,89828
77297,89851
75854,89851
75854,90641
74927,90641
74927,91493
74024,91493
74024,91708
72758,91708
72758,92639
71883,92639
71883,93141
70777,93141
70777,94086
69872,94086
69872,94642
68777,94642
68777,94418
67372,94418
67372,95046
66314,95046
66314,95926
65329,95926
65329,95544
63929,95544
63929,96034
62813,96034
62813,96559
61697,96559
61697,97195
60593,97195
60593,96671
59241,96671
59241,97319
58129,97319
58129,97045
56860,97045
56860,97350
55683,97350
55683,98172
54547,98172
54547,97713
53287,97713
53287,97525
52066,97525
52066,98306
50875,98306
50875,97591
49656,97591
49656,97755
48445,97755
48445,97799
47230,97799
47230,97741
46017,97741
46017,98053
44763,98053
44763,97805
43560,97805
43560,97114
42434,97114
42434,97505
41131,97505
41131,96661
40059,96661
40059,96718
38803,96718
38803,96537
37591,96537
37591,95988
36481,95988
36481,95537
35351,95537
35351,95062
34233,95062
34233,94502
33152,94502
33152,94197
31974,94197
31974,94035
30725,94035
30725,93480
29640,93480
29640,92675
28683,92675
28683,92350
27487,92350
27487,91503
26570,91503
26570,91119
25393,91119
25393,90582
24296,90582
24296,89877
23304,89877
23304,88930
22484,88930
22484,88155
21556,88155
21556,88024
20126,88024
20126,87039
19351,87039
19351,86353
18333,86353
18333,85504
17454,85504
17454,84880
16361,84880
16361,83998
15508,83998
15508,83082
14690,83082
14690,82035
14023,82035
14023,80880
13499,80880
13499,80294
12294,80294
12294,79160
11761,79160
11761,78152
11076,78152
11076,77346
10099,77346
10099,76187
9634,76187
9634,74892
9415,74892
9415,74076
8416,74076
8416,73130
7608,73130
7608,71996
7139,71996
7139,70930
6539,70930
6539,69915
5818,69915
5818,68567
5858,68567
5858,67380
5561,67380
5561,66437
4615,66437
4615,65258
4284,65258
4284,63945
4402,63945
4402,62746
4207,62746
4207,61637
3678,61637
3678,60447
3458,60447
3458,59293
3064,59293
3064,58162
2488,58162
2488,56891
2737,56891
2737,55722
2329,55722
2329,54493
2400,54493
2400,53318
1844,53318
1844,52080
2154,52080
2154,50860
2506,50860
2506,50322
94737,50322
94737,48449
2390,48449
2390,47223
2086,47223
2086,46043
2569,46043
2569,44800
2293,44800
2293,43643
2809,43643
